* 2068:

** Januari 2068:

1/1 sön:
2/1 mån:
3/1 tis:
4/1 ons:
5/1 tor:
6/1 fre:
7/1 lör:
8/1 sön:
9/1 mån:
10/1 tis:
11/1 ons:
12/1 tor:
13/1 fre:
14/1 lör:
15/1 sön:
16/1 mån:
17/1 tis:
18/1 ons:
19/1 tor:
20/1 fre:
21/1 lör:
22/1 sön:
23/1 mån:
24/1 tis:
25/1 ons:
26/1 tor:
27/1 fre:
28/1 lör:
29/1 sön:
30/1 mån:
31/1 tis:


** Februari 2068:

1/2 ons:
2/2 tor:
3/2 fre:
4/2 lör:
5/2 sön:
6/2 mån:
7/2 tis:
8/2 ons:
9/2 tor:
10/2 fre:
11/2 lör:
12/2 sön:
13/2 mån:
14/2 tis:
15/2 ons:
16/2 tor:
17/2 fre:
18/2 lör:
19/2 sön:
20/2 mån:
21/2 tis:
22/2 ons:
23/2 tor:
24/2 fre:
25/2 lör:
26/2 sön:
27/2 mån:
28/2 tis:
29/2 ons:


** Mars 2068:

1/3 tor:
2/3 fre:
3/3 lör:
4/3 sön:
5/3 mån:
6/3 tis:
7/3 ons:
8/3 tor:
9/3 fre:
10/3 lör:
11/3 sön:
12/3 mån:
13/3 tis:
14/3 ons:
15/3 tor:
16/3 fre:
17/3 lör:
18/3 sön:
19/3 mån:
20/3 tis:
21/3 ons:
22/3 tor:
23/3 fre:
24/3 lör:
25/3 sön:
26/3 mån:
27/3 tis:
28/3 ons:
29/3 tor:
30/3 fre:
31/3 lör:


** April 2068:

1/4 sön:
2/4 mån:
3/4 tis:
4/4 ons:
5/4 tor:
6/4 fre:
7/4 lör:
8/4 sön:
9/4 mån:
10/4 tis:
11/4 ons:
12/4 tor:
13/4 fre:
14/4 lör:
15/4 sön:
16/4 mån:
17/4 tis:
18/4 ons:
19/4 tor:
20/4 fre:
21/4 lör:
22/4 sön:
23/4 mån:
24/4 tis:
25/4 ons:
26/4 tor:
27/4 fre:
28/4 lör:
29/4 sön:
30/4 mån:


** Maj 2068:

1/5 tis:
2/5 ons:
3/5 tor:
4/5 fre:
5/5 lör:
6/5 sön:
7/5 mån:
8/5 tis:
9/5 ons:
10/5 tor:
11/5 fre:
12/5 lör:
13/5 sön:
14/5 mån:
15/5 tis:
16/5 ons:
17/5 tor:
18/5 fre:
19/5 lör:
20/5 sön:
21/5 mån:
22/5 tis:
23/5 ons:
24/5 tor:
25/5 fre:
26/5 lör:
27/5 sön:
28/5 mån:
29/5 tis:
30/5 ons:
31/5 tor:


** Juni 2068:

1/6 fre:
2/6 lör:
3/6 sön:
4/6 mån:
5/6 tis:
6/6 ons:
7/6 tor:
8/6 fre:
9/6 lör:
10/6 sön:
11/6 mån:
12/6 tis:
13/6 ons:
14/6 tor:
15/6 fre:
16/6 lör:
17/6 sön:
18/6 mån:
19/6 tis:
20/6 ons:
21/6 tor:
22/6 fre:
23/6 lör:
24/6 sön:
25/6 mån:
